date,cases
3/8/21,117214710
3/9/21,117629375
3/10/21,118096454
3/11/21,118573350
3/12/21,119062678
3/13/21,119516794
3/14/21,119877179
3/15/21,120226080
3/16/21,120699093
3/17/21,121238378
3/18/21,121792101
3/19/21,122353780
3/20/21,122852600
3/21/21,123275915
3/22/21,123692736
3/23/21,124206981
3/24/21,124840562
3/25/21,125491912
3/26/21,126133263
3/27/21,126717855
3/28/21,127187812
3/29/21,127646218
3/30/21,128214491
3/31/21,128897696
4/13/21,137442820
4/14/21,138259845
max_infection_rate,8838469
